#W_0n	Temperature centrale	Temperature moyenne
1.78	5.59883e+06	3.35104e+06
1.79	5.62523e+06	3.36783e+06
1.8	5.65157e+06	3.38461e+06
1.81	5.67784e+06	3.40135e+06
1.82	5.70406e+06	3.41807e+06
1.83	5.73021e+06	3.43477e+06
1.84	5.75631e+06	3.45144e+06
1.85	5.78234e+06	3.46808e+06
1.86	5.80832e+06	3.4847e+06
1.87	5.83423e+06	3.5013e+06
1.88	5.86008e+06	3.51787e+06
1.89	5.88587e+06	3.53441e+06
1.9	5.9116e+06	3.55093e+06
1.91	5.93727e+06	3.56742e+06
1.92	5.96288e+06	3.58388e+06
1.93	5.98843e+06	3.60032e+06
1.94	6.01392e+06	3.61674e+06
1.95	6.03935e+06	3.63313e+06
1.96	6.06471e+06	3.64949e+06
1.97	6.09002e+06	3.66582e+06
1.98	6.11526e+06	3.68213e+06
1.99	6.14045e+06	3.69842e+06
2	6.16557e+06	3.71468e+06
2.01	6.19063e+06	3.73091e+06
2.02	6.21563e+06	3.74711e+06
2.03	6.24057e+06	3.76329e+06
2.04	6.26545e+06	3.77945e+06
2.05	6.29027e+06	3.79557e+06
2.06	6.31503e+06	3.81168e+06
2.07	6.33972e+06	3.82775e+06
2.08	6.36436e+06	3.8438e+06
2.09	6.38893e+06	3.85982e+06
2.1	6.41344e+06	3.87581e+06
2.11	6.43789e+06	3.89178e+06
2.12	6.46228e+06	3.90772e+06
2.13	6.48661e+06	3.92364e+06
2.14	6.51088e+06	3.93953e+06
2.15	6.53508e+06	3.95539e+06
2.16	6.55923e+06	3.97123e+06
2.17	6.58331e+06	3.98703e+06
2.18	6.60734e+06	4.00282e+06
2.19	6.6313e+06	4.01857e+06
2.2	6.6552e+06	4.0343e+06
2.21	6.67903e+06	4.05e+06
2.22	6.70281e+06	4.06567e+06
2.23	6.72653e+06	4.08132e+06
2.24	6.75018e+06	4.09694e+06
2.25	6.77377e+06	4.11253e+06
2.26	6.7973e+06	4.1281e+06
2.27	6.82077e+06	4.14364e+06
2.28	6.84418e+06	4.15915e+06
2.29	6.86753e+06	4.17463e+06
2.3	6.89082e+06	4.19009e+06
2.31	6.91404e+06	4.20552e+06
2.32	6.9372e+06	4.22092e+06
2.33	6.96031e+06	4.2363e+06
2.34	6.98335e+06	4.25164e+06
2.35	7.00632e+06	4.26696e+06
2.36	7.02924e+06	4.28226e+06
2.37	7.0521e+06	4.29752e+06
2.38	7.07489e+06	4.31276e+06
2.39	7.09763e+06	4.32797e+06
2.4	7.1203e+06	4.34315e+06
2.41	7.14291e+06	4.35831e+06
2.42	7.16546e+06	4.37343e+06
2.43	7.18794e+06	4.38853e+06
2.44	7.21037e+06	4.4036e+06
2.45	7.23273e+06	4.41864e+06
2.46	7.25504e+06	4.43366e+06
2.47	7.27728e+06	4.44865e+06
2.48	7.29946e+06	4.46361e+06
2.49	7.32158e+06	4.47854e+06
2.5	7.34364e+06	4.49344e+06
2.51	7.36563e+06	4.50832e+06
2.52	7.38757e+06	4.52316e+06
2.53	7.40944e+06	4.53798e+06
2.54	7.43126e+06	4.55277e+06
2.55	7.45301e+06	4.56754e+06
2.56	7.4747e+06	4.58227e+06
2.57	7.49632e+06	4.59698e+06
2.58	7.51789e+06	4.61166e+06
2.59	7.5394e+06	4.62631e+06
